Titulo,Precio,Precio Oferta,Editorial,Descuento,Formato,Autor,URL Libro,Idioma,Pagínas,ISBN,Origen,Encuadernación,Año,Dimen Largo,Dimen Ancho,Genero,Total Reviews,Valoración,Estado,Unidades,Imagen URL
El obsceno pájaro de la noche,22000,18700,ALFAGUARA,0.15,Libro Físico,José Donoso,https://www.buscalibre.cl/libro-el-obsceno-pajaro-de-la-noche/9789563844887/p/62219195,Español,504,9789563844887,Chile,Tapa Blanda,2024,23.00,0.00,Ficción,1,5.0,Libro Nuevo,98,https://images.cdn2.buscalibre.com/fit-in/360x360/c4/4e/c44e97f5107673fca2641cf6e69fc74e.jpg
Los Ojos de Mona / Mona's Eyes,25000,21250,Lumen Press,0.15,Libro Físico,Thomas Schlesser,https://www.buscalibre.cl/libro-los-ojos-de-mona-mona-s-eyes/9788426426970/p/55853672,Español,512,9788426426970,Chile,Tapa Blanda,2024,23.10,15.70,Ficción literaria; Historia del arte; Novelas sobre la vida en familia,1,5.0,Libro Nuevo,48,https://images.cdn1.buscalibre.com/fit-in/360x360/66/90/6690fd58d033e5596e8005352be95cf4.jpg
Sapiens: Volumen 1: El Nacimiento de la Humanidad (Edición Gráfica) / Sapiens: A Graphic History: The Birth of Humankind,21000,17850,Debate,0.15,Libro Físico,Yuval Noah Harari,https://www.buscalibre.cl/libro-sapiens-volumen-1-el-nacimiento-de-la-humanidad-edicion-grafica-sapiens-a-graphic-history-the-birth-of-humankind/9788418006814/p/53045231,Español,256,9788418006814,Chile,Tapa Dura,2022,24.60,20.00,"Antropología; Cómics; Ecología, la biosfera; Evolución; Historia general y del mundo; Historia social y cultural; Niños de 12 años; Niños de 14 años; Novela gráfica de adaptaciones literarias; Novela gráfica y cómics de histórica; Novela gráfica: historias reales | no ficción",15,5.0,Libro Nuevo,4,https://images.cdn3.buscalibre.com/fit-in/360x360/0a/eb/0aeb803daf28e2c2dca7cc7dfda7ecdb.jpg
Si te Gusta la Oscuridad,27000,20870,Plaza Y Janes,0.23,Libro Físico,Stephen King,https://www.buscalibre.cl/libro-si-te-gusta-la-oscuridad/9789506447229/p/58776741,Español,704,9789506447229,Chile,Tapa Blanda,2024,15.00,0.00,Thriller,6,5.0,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/7f/6a/7f6ab2c5ec4540e494ac1b7679624c5e.jpg
Collide: Fuera del Hielo,18490,15720,Vera,0.15,Libro Físico,Bal Khabra,https://www.buscalibre.cl/libro-collide-fuera-del-hielo/9786313002214/p/62014326,Español,408,9786313002214,Chile,Tapa Blanda,2024,23.00,16.00,Cuestiones sobre lgtbq+; Ficción infantil  -  ficción juvenil: fantasía romántica; Infantil y juvenil; Lgtbq; Novelas de amor contemporáneo; Novelas de amor erótico; Novelas de amor históricas; Novelas de amor puro; Novelas románticas de viajes en el tiempo; Novelas sobre estilos de vida contemporáneos,2,5.0,Libro Nuevo,2,https://images.cdn1.buscalibre.com/fit-in/360x360/80/3e/803eba9aab56b59dd3efa7c027ff583b.jpg
Magnolia Parks. Escoge el camino largo,23000,20700,MOLINO,0.10,Libro Físico,Jessa Hastings,https://www.buscalibre.cl/libro-magnolia-parks-escoge-el-camino-largo/9789566146377/p/62986380,Español,640,9789566146377,Chile,Tapa Blanda,2024,15.00,21.00,"Romance, Drama",1,5.0,Libro Nuevo,100,https://images.cdn2.buscalibre.com/fit-in/360x360/66/69/66691a511b96b37d7713553d7c7132e2.jpg
El libro de la Biologia,30000,25500,DK,0.15,Libro Físico,"DK, DK",https://www.buscalibre.cl/libro-el-libro-de-la-biologia/9780241668474/p/55761650,Español,336,9780241668474,Chile,Tapa Dura,2023,19.80,23.60,Académico,0,0.0,Libro Nuevo,14,https://images.cdn1.buscalibre.com/fit-in/360x360/67/f3/67f307230ae0b71745cbafd8d179f50e.jpg
Amor en Juego,20000,13000,Grijalbo,0.35,Libro Físico,Elena Armas,https://www.buscalibre.cl/libro-amor-en-juego/9788425365690/p/55032326,Español,448,9788425365690,Chile,Tapa Blanda,2023,23.10,15.50,Ficción moderna y contemporánea,3,5.0,Libro Nuevo,66,https://images.cdn3.buscalibre.com/fit-in/360x360/58/2a/582a156658de661bf98854ac4d614329.jpg
El Asesinato de Roger Ackroyd,10900,8180,booket,0.25,Libro Físico,Agatha Christie,https://www.buscalibre.cl/libro-el-asesinato-de-roger-ackroyd/9789566293125/p/55974990,Español,200,9789566293125,Chile,Tapa Blanda,2024,12.00,0.00,Novela negra,5,5.0,Libro Nuevo,74,https://images.cdn3.buscalibre.com/fit-in/360x360/26/92/2692f1c8efd93210f78571dedf6ad908.jpg
Abel,24000,20400,Editorial Anagrama,0.15,Libro Físico,Alessandro Baricco,https://www.buscalibre.cl/libro-abel/9788433927316/p/62621415,Español,176,9788433927316,Chile,Tapa Blanda,2021,22.00,14.00,"Ficción, Drama",0,0.0,Libro Nuevo,100,https://images.cdn2.buscalibre.com/fit-in/360x360/0b/79/0b7938523b7626ca7ee698b4b258c841.jpg
Conecta con tu Pasión,16490,14020,Planeta,0.15,Libro Físico,Constanza Nuñez,https://www.buscalibre.cl/libro-conecta-con-tu-pasion/9789564082707/p/54454764,Español,188,9789564082707,Chile,Tapa Blanda,2023,13.00,0.00,Autoayuda y desarrollo personal,19,5.0,Libro Nuevo,22,https://images.cdn2.buscalibre.com/fit-in/360x360/75/fe/75fe8f52c351c79cd32b4e49d4d7f553.jpg
Grit,12900,10970,Urano,0.15,Libro Físico,Angela Duckworth,https://www.buscalibre.cl/libro-grit/9788416622689/p/53392374,Español,412,9788416622689,Chile,Tapa Blanda,2021,18.80,12.40,"Emprendimeinto; Motivación, autoestima y actitud positiva; Psicología",10,5.0,Libro Nuevo,18,https://images.cdn2.buscalibre.com/fit-in/360x360/3c/c8/3cc857daabf1b94da5844e0504d0c5dc.jpg
En las Montañas de la Locura,10900,8180,Austral,0.25,Libro Físico,H. P. Lovecraft,https://www.buscalibre.cl/libro-en-las-montanas-de-la-locura/9789566180166/p/54557229,Español,192,9789566180166,Chile,Tapa Blanda,2023,12.00,0.00,Ficción literaria,0,0.0,Libro Nuevo,27,https://images.cdn3.buscalibre.com/fit-in/360x360/eb/8d/eb8dc44091e25868b7a308c5dbbf2954.jpg
Multiplica tu Dinero,12000,10200,Debolsillo,0.15,Libro Físico,Brian Tracy,https://www.buscalibre.cl/libro-multiplica-tu-dinero/9788466372862/p/55779238,Español,128,9788466372862,Chile,Tapa Blanda,2024,18.30,11.90,Consejos sobre carreras profesionales y exitosas; Contabilidad de gestión; Finanzas personales,2,3.5,Libro Nuevo,100,https://images.cdn2.buscalibre.com/fit-in/360x360/2b/55/2b5554ffe9f2b17982fc33af6263f6ac.jpg
A través de ti,17000,5950,Montena,0.65,Libro Físico,Ariana Godoy,https://www.buscalibre.cl/libro-a-traves-de-ti/9789566026785/p/53590529,Español,336,9789566026785,Chile,Tapa Blanda,2021,15.00,21.00,Cuestiones personales y sociales; Novelas de amor,59,5.0,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/76/a5/76a5e69d9b8dab8330254f8d648c3051.jpg
Las brujas,15000,12750,ALFAGUARA INFANTIL JUVENIL,0.15,Libro Físico,Roald Dahl,https://www.buscalibre.cl/libro-las-brujas/9788420482903/p/46718924,Español,232,9788420482903,Chile,Tapa Dura,2019,22.10,14.80,Ficción infantil y juvenil: acción y aventuras; Ficción infantil y juvenil: clásica,2,5.0,Libro Nuevo,7,https://images.cdn3.buscalibre.com/fit-in/360x360/d5/6c/d56cef839f262a532d33d461d333d976.jpg
Alto en mitos,17000,14450,GRIJALBO,0.15,Libro Físico,Dr. Nico Soto,https://www.buscalibre.cl/libro-alto-en-mitos/9789562585507/p/52838067,Español,362,9789562585507,Chile,Tapa Blanda,2020,23.00,15.20,"Chile; Cocina sana: alimentos integrales; Dietética y nutrición; Español latinoamericano; Medicina complementaria; Salud, relaciones y desarrollo personal",306,5.0,Libro Nuevo,64,https://images.cdn2.buscalibre.com/fit-in/360x360/e1/84/e184f621fcf823661b18b4c7e892d9ae.jpg
"Kim ji Young, nacida en 1982",15000,12750,Alfaguara,0.15,Libro Físico,Cho Nam-joo,https://www.buscalibre.cl/libro-kim-ji-young-nacida-en-1982/9786289549003/p/54585415,Español,160,9786289549003,Chile,Tapa Blanda,2023,15.00,24.00,"Ficción Contemporánea, Feminismo",17,5.0,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/7d/ad/7daddff6495c1cfdbe8f16209538ef22.jpg
